TIMESTAMP,TA_F,SW_IN_F,VPD_F,GPP_NT_VUT_REF
19990522,14.152,264.985,3.539,5.16187
19990523,7.427,73.841,0.04,3.55946
19990524,5.955,233.32,2.28,4.63216
19990525,7.532,158.11,2.334,4.25332
19990526,14.385,350.366,9.674,4.10288
19990527,18.93,315.633,11.714,4.07928
19990528,20.816,340.802,13.42,4.63078
19990529,22.438,329.496,11.268,4.99859
19990530,21.161,310.279,10.576,5.27033
19990531,13.127,117.585,1.482,4.27895
19990601,7.198,108.861,0.298,2.31326
19990602,9.371,243.327,1.426,4.04467
19990603,14.889,338.562,5.973,4.9326
19990604,15.958,250.926,4.375,4.34612
19990605,20.74,141.464,4.031,2.86326
19990606,22.04,168.496,4.738,6.47883
19990607,19.71,244.773,4.597,6.55149
19990608,22.383,301.597,7.472,6.30497
19990609,22.127,265.254,3.74,6.17445
19990610,20.013,210.623,2.514,6.4171
19990611,17.969,163.18,1.132,5.74016
19990612,16.796,207.161,3.142,6.02544
19990613,17.444,318.227,4.87,6.68945
19990614,9.456,220.873,3.229,7.04435
19990615,10.82,263.535,3.193,10.0885
19990616,11.248,296.11,1.614,7.03258
19990617,14.992,315.928,2.165,7.15248
19990618,19.253,343.616,3.368,7.80645
19990619,17.461,146.923,3.766,5.98947
19990620,17.667,221.369,4.394,6.99715
19990621,19.825,339.91,6.656,9.18857
19990622,21.468,249.367,4.252,12.1271
19990623,20.83,91.013,1.284,4.22024
19990624,24.216,363.583,6.999,7.98282
19990625,25.273,355.191,9.679,8.68391
19990626,24.057,340.776,9.827,9.58543
19990627,18.702,146.691,4.665,7.03509
19990628,13.744,120.676,2.838,5.31295
19990629,14.772,295.953,4.525,9.51779
19990630,14.367,161.125,3.06,6.8126
19990701,16.082,229.983,2.466,8.50009
19990702,19.271,290.152,4.874,10.1825
19990703,21.702,103.92,5.616,5.49179
19990704,26.902,220.944,8.463,9.72966
19990705,23.147,135.995,8.009,5.92561
19990706,19.597,362.836,5.922,9.16538
19990707,19.584,328.138,4.217,10.6505
19990708,14.467,37.189,3.215,1.81279
19990709,14.152,160.007,3.552,7.62802
19990710,16.464,344.353,4.198,11.1436
19990711,18.942,277.013,3.604,11.597
19990712,20.002,322.847,4.547,10.8986
19990713,18.474,184.664,2.795,9.63364
19990714,21.768,151.39,2.792,9.6772
19990715,25.482,299.917,4.992,11.1901
19990716,22.804,115.332,2.933,6.76139
19990717,18.792,230.219,5.478,8.76247
19990718,19.378,148.672,4.342,7.83986
19990719,20.617,157.177,5.852,8.12888
19990720,19.968,98.059,4.103,5.98635
19990721,22.139,167.544,6.295,8.67833
19990722,23.292,204.092,7.584,8.65885
19990723,24.127,193.388,7.621,8.46289
19990724,24.735,222.678,12.386,7.53053
19990725,23.565,241.154,9.649,8.45715
19990726,21.684,282.799,9.442,6.67152
19990727,20.321,324.861,7.213,8.09373
19990728,23.08,337.067,7.576,8.32953
19990729,25.367,289.364,11.236,8.32947
19990730,25.731,241.585,8.249,6.08026
19990731,20.56,287.61,8.114,6.3823
19990801,16.568,175.859,5.841,4.90978
19990802,17.084,132.561,5.172,3.06854
19990803,16.929,136.325,3.147,1.65644
19990804,16.611,216.36,4.596,5.58666
19990805,16.849,278.292,3.728,4.95779
19990806,18.378,306.303,4.406,6.40938
19990807,18.223,112.304,2.411,2.87694
19990808,17.406,278.297,6.701,5.38179
19990809,16.084,79.742,3.543,0.094862
19990810,18.487,153.602,3.179,3.95681
19990811,17.96,158.188,1.316,3.83284
19990812,17.866,63.837,0.741,-0.463641
19990813,14.771,160.355,1.992,3.40546
19990814,16.148,289.384,4.962,4.96125
19990815,17.492,208.178,3.05,6.276
19990816,20.648,246.298,5.779,6.9918
19990817,16.368,161.517,1.733,8.98421
19990818,14.531,95.111,0.775,5.56856
19990819,16.727,170.138,2.87,10.2563
19990820,19.185,243.187,5.436,9.83574
19990821,20.063,250.315,5.089,9.78443
19990822,16.567,88.277,0.581,4.56263
19990823,17.564,46.064,0.617,1.55933
19990824,19.784,198.73,3.373,7.41089
19990825,21.05,219.867,4.324,9.01772
19990826,20.854,237.063,3.778,8.72506
19990827,23.193,187.97,7.05,7.02134
19990828,18.985,161.86,7.543,5.83395
