SZA,AOD,COD,CLD_FRAC,UW,TO3,Pressure,BSA,WSA,SW_direct,SW_diffuse
24.93678284,1.17289187,2.44,0.286546469,2.021502256,311.4198608,959.085083,0.162,0.193,467.1916504,300.8200073
34.86505508,1.626954024,4.63,0.468832105,4.859887123,308.7133789,968.4275513,0.155,0.169,264.9000244,385.293335
27.33097839,1.095007425,2.03,0.301413715,5.278558254,293.322052,988.0405884,0.136,0.149,313.5533142,321.5383606
20.36173248,1.126540526,5.5,0.37701872,4.856421947,321.4981995,977.6102295,0.156,0.179,143.902298,501.0736389
13.43322754,0.725451544,0.736076176,0.075378105,0.644261658,295.4489746,882.3214111,0.188,0.212,957.331665,79.00333405
19.48754883,0.739121348,2.2,0.155581161,4.793348789,295.1914978,976.2115479,0.152,0.177,241.5070648,426.9408875
19.48754883,0.739121348,2.2,0.155581161,4.793348789,295.1914978,976.2115479,0.152,0.177,241.5070648,426.9408875
19.48754883,0.739121348,2.2,0.155581161,4.793348789,295.1914978,976.2115479,0.152,0.177,252.8516083,430.9715881
18.90776825,1.368472274,4.19,0.352891058,4.55065155,332.1570129,965.8833618,0.156,0.178,620.7388306,294.4029236
23.76365662,0.634787589,2.47,0.171280205,4.244966507,296.2075806,1002.127625,0.143,0.155,574.7000122,217.2149963
32.23180008,0.613652105,1.66246748,0.193884239,1.781187057,360.2523499,938.5855103,0.14,0.159,246.4033508,393.0066528
18.36113739,0.840542927,2.221657515,0.242433742,3.45391655,318.2674561,988.0405884,0.141,0.155,73.02833557,517.4616699
34.23399353,0.487989072,0.613630056,0.073153682,0.101402156,299.8444824,882.3214111,0.188,0.211,843.6032715,76.9383316
14.29773712,0.34706779,0.822694242,0.087219432,3.976078272,284.0634155,1002.127625,0.143,0.158,696.2199707,205.7666626
50.02851105,0.628900268,1.990665197,0.269532353,2.281477213,257.3504639,970.0498047,0.132,0.143,466.4772949,124.8166656
60.47375488,0.292656555,1.08,0.089519672,3.635118008,319.8737183,988.0405884,0.159,0.174,243.4500122,207.1350098
67.83647156,1.542590484,0.69,0.300331712,3.577886581,321.5290527,969.2388916,0.164,0.192,0.666778088,145.1585999
50.85245132,0.563740428,3.12,0.17842114,4.32838726,311.3512268,1013.25,0.028,0.03,310.2454834,250.4333191
68.69941711,0.810733937,0.092928112,0.014792725,3.619641542,314.1929932,971.7906494,0.16,0.181,29.62276459,153.3357544
68.77313232,1.390344835,0.837545753,0.133466721,3.619641542,321.0614624,965.8833618,0.159,0.18,14.53727627,173.5679016
62.62170792,0.96436606,4.09,0.250817537,3.821956158,301.7246094,1003.438232,0.145,0.16,42.35500336,256.7400208
5.109062195,2.140396038,5.13,0.563226104,1.601828694,324.3477783,767.2047729,0.083,0.098,1057.18811,56.8833313
39.07167816,0.723495326,3.55,0.270072401,2.250276089,272.129364,970.0498047,0.131,0.142,623.6184692,104.0333328
29.76602554,0.395706911,0.676866651,0.078117743,1.2777071,365.8174438,935.5411377,0.14,0.159,779.2833252,90.05667114
17.55201721,0.040065466,0.091045529,0.009925184,2.379187822,315.5843201,969.2388916,0.162,0.189,775.1240234,145.4911957
17.92320251,0.025403403,0.050538018,0.005525482,2.328604937,320.736969,971.7906494,0.161,0.182,789.9805908,153.9645233
16.89842224,0.02266149,0.036558293,0.003975227,2.90888381,314.6015015,975.9783936,0.162,0.186,789.9129639,144.4749146
30.14690399,0.590490631,0.642391324,0.074352793,0.096764617,298.9856567,915.784729,0.19,0.212,846.581665,74.82333374
17.31240082,0.156985247,0.239673167,0.0261446,2.603199482,313.9883423,977.2611084,0.162,0.19,779.5339355,152.9954987
17.31240082,0.156985247,0.239673167,0.0261446,2.603199482,313.9883423,977.2611084,0.162,0.19,779.5339355,152.9954987
